"NumberOfVehicles","AccidentDate","Time","FirstRoadClass","RoadSurface","LightingConditions","Daylight.Dark","WeatherConditions","TypeOfVehicle","CasualtyClass","CasualtySeverity","SexOfCasualty","AgeOfCasualty"
2,"30/07/2017",822,"U","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,51
2,"30/07/2017",1933,"U","Dry",7,"Dark","Fine without high winds",19,1,3,1,7
2,"01/08/2017",1020,"U","Dry",1,"Daylight","Fine without high winds",19,1,3,1,47
1,"05/08/2017",1550,"A58","Dry",1,"Daylight","Fine without high winds",5,1,2,2,44
2,"06/08/2017",1530,"A6033","Dry",1,"Daylight","Fine without high winds",9,2,3,1,72
1,"06/08/2017",1610,"A672","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,31
1,"06/08/2017",1530,"A672","Dry",1,"Daylight","Fine without high winds",9,3,3,2,49
2,"06/08/2017",2206,"U","Wet/Damp",4,"Dark","Raining without high winds",9,1,3,1,37
2,"08/08/2017",1814,"U","Wet/Damp",7,"Dark","Fine without high winds",9,1,3,1,51
2,"09/08/2017",735,"U","Dry",1,"Daylight","Fine without high winds",1,1,3,1,37
1,"09/08/2017",1110,"A646","Dry",1,"Daylight","Fine without high winds",8,3,3,2,80
2,"04/08/2017",1430,"U","Dry",1,"Daylight","Fine without high winds",8,1,3,1,50
2,"09/08/2017",1655,"A58","Dry",1,"Daylight","Fine without high winds",11,1,2,1,49
3,"11/08/2017",805,"A646","Dry",1,"Daylight","Fine without high winds",9,1,3,2,47
2,"03/08/2017",2043,"U","Dry",4,"Dark","Fine without high winds",9,1,2,1,62
2,"13/08/2017",2050,"A629","Dry",4,"Dark","Fine without high winds",8,1,3,1,34
2,"13/08/2017",2146,"A6036","Dry",7,"Dark","Fine without high winds",3,1,3,1,17
2,"17/08/2017",1215,"A58","Dry",1,"Daylight","Fine without high winds",9,1,3,1,34
1,"23/08/2017",1518,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,2,8
1,"27/08/2017",609,"A58","Dry",7,"Dark","Fine without high winds",9,1,2,1,60
1,"27/08/2017",922,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,1,39
2,"07/10/2017",1433,"A646","Dry",1,"Daylight","Fine without high winds",9,1,3,1,55
1,"27/08/2017",1505,"A641","Dry",1,"Daylight","Fine without high winds",9,3,2,1,24
1,"27/08/2017",1657,"A58","Dry",1,"Daylight","Fine without high winds",9,3,2,1,27
2,"28/08/2017",929,"A672","Dry",1,"Daylight","Fine without high winds",9,1,3,2,46
5,"30/08/2017",1706,"A646","Dry",7,"Dark","Fine without high winds",9,1,3,1,46
2,"30/08/2017",1721,"A641","Dry",7,"Dark","Fine without high winds",5,1,2,1,52
2,"01/08/2017",1615,"U","Dry",1,"Daylight","Fine without high winds",3,1,3,1,20
4,"01/09/2017",1058,"M62","Dry",1,"Daylight","Fine without high winds",9,1,3,2,52
2,"01/09/2017",1455,"A6036","Dry",1,"Daylight","Fine without high winds",5,1,3,1,62
1,"01/09/2017",2128,"U","Dry",4,"Dark","Fine without high winds",9,2,3,1,10
1,"01/09/2017",2136,"A58","Dry",7,"Dark","Fine without high winds",4,1,3,1,20
2,"02/09/2017",1957,"U","Dry",4,"Dark","Fine without high winds",9,1,3,2,24
3,"04/09/2017",1240,"U","Dry",1,"Daylight","Fine without high winds",11,1,3,2,44
2,"04/09/2017",1455,"M62","Dry",1,"Daylight","Fine without high winds",9,1,3,2,46
1,"04/09/2017",1630,"A646","Wet/Damp",1,"Daylight","Fine without high winds",3,1,2,2,56
2,"05/09/2017",645,"U","Wet/Damp",7,"Dark","Raining without high winds",9,1,3,1,41
3,"06/09/2017",2209,"U","Wet/Damp",7,"Dark","Fine without high winds",9,1,3,1,45
3,"07/09/2017",727,"U","Dry",7,"Dark","Fine without high winds",9,1,3,2,61
1,"08/09/2017",734,"M62","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,23
2,"08/09/2017",743,"U","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,1,30
